"GEOID","state","R","density_log","private","hincome","R_death","sensitivitydensity"
13021,"GA",1.65323546,5.482542971,9.225677923,3.9931,NA,TRUE
13029,"GA",1.166707648,3.287470541,9.284667969,7.1322,NA,FALSE
13031,"GA",1.331025917,3.696230414,9.008241758,4.1789,NA,FALSE
13033,"GA",1.95345639,2.387476258,9.321842965,4.2773,NA,FALSE
13035,"GA",1.737094333,3.902606234,9.530323757,4.1845,NA,FALSE
13037,"GA",1.581290368,2.221213972,8.945068664,3.1725,NA,TRUE
13039,"GA",1.090062086,3.45992674,9.159592185,5.6397,NA,FALSE
13045,"GA",1.139282912,4.448603926,9.367717819,4.9608,1.379093168,FALSE
13049,"GA",1.167647882,1.804133667,9.292759201,4.0283,NA,FALSE
13051,"GA",2.162180974,5.480851094,8.875451037,5.4911,NA,TRUE
13057,"GA",1.91426257,5.279461968,8.828682888,7.967,NA,TRUE
13059,"GA",1.409855267,5.935022692,8.366386849,3.6889,0.569454887,TRUE
13063,"GA",2.627944569,6.561772508,9.064267268,4.5778,0.647457251,TRUE
13065,"GA",1.648240464,1.1878407,9.589293955,2.5236,NA,TRUE
13067,"GA",2.085704491,6.662385373,8.80248858,7.5153,1.353283427,TRUE
13069,"GA",2.153020927,3.347672961,9.557549127,3.8266,NA,TRUE
13071,"GA",1.338783259,3.474539271,9.25816833,3.5472,NA,TRUE
13073,"GA",1.562393281,5.106620452,9.617242497,7.6938,NA,TRUE
13077,"GA",1.924123067,4.713981735,9.226896746,7.0717,NA,FALSE
13081,"GA",1.52624707,3.50255839,9.524371533,3.5096,NA,TRUE
13087,"GA",1.242503638,2.890496652,9.501612735,3.9148,NA,FALSE
13089,"GA",3.271226275,6.906107592,8.280144507,5.928,1.249856127,TRUE
13093,"GA",1.243056213,2.687561575,9.422680412,3.5629,NA,TRUE
13095,"GA",2.066957876,4.710278775,9.034502754,3.7633,1.139476257,TRUE
13097,"GA",1.57302224,5.543300333,9.154293575,6.2147,NA,TRUE
13099,"GA",2.074263976,2.115240319,9.447573076,3.1567,NA,TRUE
13101,"GA",1.680049411,1.322836288,9.454109178,3.4447,NA,TRUE
13105,"GA",1.627154751,3.099156568,9.632528522,3.7943,NA,FALSE
13113,"GA",1.851122905,5.355255141,8.819083881,8.7272,NA,TRUE
13115,"GA",1.655171224,4.289511426,9.044471744,4.6367,NA,FALSE
13117,"GA",1.69170043,5.712065474,8.663840288,10.1743,NA,TRUE
13121,"GA",3.730168838,6.514600174,7.977877125,6.4787,1.897467818,TRUE
13123,"GA",2.083304218,3.242974923,9.168868604,4.9389,NA,FALSE
13127,"GA",1.380894098,4.293776147,9.301990885,5.0672,NA,TRUE
13131,"GA",1.381705417,3.056160797,9.587721938,4.2348,NA,FALSE
13133,"GA",1.291103225,2.768766429,8.778527805,4.9755,NA,FALSE
13135,"GA",3.02016692,6.582667074,9.109792487,6.7769,1.657973146,TRUE
13137,"GA",2.399100069,4.095178405,9.597421689,4.914,NA,FALSE
13139,"GA",1.866023237,5.174047531,9.38295496,5.9898,NA,TRUE
13145,"GA",1.580514675,3.282986247,9.413938754,7.4261,NA,FALSE
13151,"GA",2.415868395,5.498894338,9.065705381,6.8609,NA,TRUE
13153,"GA",1.871043277,4.968663214,9.623040719,5.877,1.328022717,FALSE
13157,"GA",1.121455262,4.230543676,9.383891106,6.2495,NA,FALSE
13167,"GA",1.31173087,2.542917872,9.418129358,3.9813,NA,TRUE
13169,"GA",1.147120018,3.33573758,9.549693355,5.3155,NA,FALSE
13177,"GA",3.000632631,3.424570067,9.615942582,6.542,0.635502496,TRUE
13185,"GA",1.514267531,4.442875866,9.38075228,4.139,NA,TRUE
13189,"GA",1.239240596,3.490578824,9.506966774,3.9199,NA,FALSE
13193,"GA",1.669490779,2.653602403,9.39198526,3.1999,NA,TRUE
13197,"GA",1.172847855,2.221598677,9.183368232,4.4309,NA,FALSE
13205,"GA",1.558131287,2.874527332,9.429186179,3.7027,0.74276453,TRUE
13215,"GA",1.975172295,5.825459859,9.01007643,4.5389,NA,TRUE
13217,"GA",2.111341191,4.954457216,9.220770724,5.3309,NA,FALSE
13219,"GA",1.544473753,4.230265202,9.189234557,8.8308,NA,FALSE
13221,"GA",1.229862099,2.572870355,9.470018171,4.4927,NA,FALSE
13223,"GA",1.614592663,5.170503628,9.207392739,6.6467,NA,TRUE
13229,"GA",1.316152215,3.130418955,9.46459185,4.4167,NA,TRUE
13231,"GA",1.598618553,3.463494254,9.627021388,5.8765,NA,FALSE
13237,"GA",1.230311366,3.16845455,9.303455127,5.1245,NA,TRUE
13243,"GA",1.679391139,1.94011175,8.497495826,3.0914,0.813922854,TRUE
13245,"GA",2.569392693,5.475411959,9.031872463,4.0644,0.987590107,TRUE
13247,"GA",1.682139122,5.535340501,9.262413918,5.7049,NA,TRUE
13255,"GA",2.173805903,4.835621601,9.518766866,4.2671,NA,FALSE
13257,"GA",1.517440408,4.03278733,9.120165338,4.3416,NA,FALSE
13261,"GA",3.132317039,3.267720399,9.350008655,3.6205,1.353283427,TRUE
13273,"GA",1.946077523,2.372287209,9.351795496,3.8015,0.874504872,TRUE
13275,"GA",1.55152934,3.456479427,9.536102377,4.0112,0.866481036,FALSE
13277,"GA",1.47701248,4.091429005,9.597416337,4.279,NA,TRUE
13285,"GA",2.003452401,4.135614147,9.613409122,4.385,NA,TRUE
13287,"GA",1.258161608,2.491651046,9.649578196,3.8341,NA,TRUE
13291,"GA",1.514505193,3.24311229,9.238494788,4.4978,NA,FALSE
13293,"GA",2.69470177,3.478586203,9.732883021,3.6529,1.020675618,FALSE
13295,"GA",1.935414046,4.085496949,9.453901441,4.365,NA,FALSE
13297,"GA",1.228116487,4.598236832,9.332370894,5.837,NA,FALSE
13299,"GA",1.47890585,2.754267966,9.540592536,3.9887,NA,TRUE
13315,"GA",1.538627075,2.247153791,9.490526316,3.6077,0.834757941,TRUE
13317,"GA",0.81828922,2.164648114,9.326633166,3.5106,NA,FALSE
13319,"GA",0.957015761,2.11075641,9.535759097,3.7583,NA,FALSE
13321,"GA",2.105704662,2.685579061,9.479477184,4.6076,NA,TRUE
15003,"HI",2.257274452,6.417766909,7.922660607,8.2906,NA,TRUE
15009,"HI",1.216656494,3.940969696,8.719035875,7.7117,NA,TRUE
16001,"ID",3.140782854,4.969299212,8.881713462,6.3137,NA,TRUE
16013,"ID",2.825984649,1.138479166,8.223093255,5.1968,NA,TRUE
16027,"ID",1.458894798,4.821786467,9.047188654,4.9143,NA,TRUE
16031,"ID",3.100747541,1.239761813,9.265565182,5.0918,NA,TRUE
16053,"ID",1.081626809,2.671775359,9.257416081,4.9306,NA,TRUE
