county,state,fips,total_cases,total_deaths,cfr,cfr_percent,mean_daily_cfr,median_daily_cfr,std_daily_cfr,min_daily_cfr,max_daily_cfr
Johnson,Arkansas,05071,4893,63,0.012875536480686695,1.2875536480686696,0.008685251258629631,0.011334686645783283,0.004956002834778118,0.0,0.013071895424836602
Amherst,Virginia,51009,4894,63,0.012872905598692277,1.2872905598692277,0.008683139500879646,0.009732520141238626,0.008823804619346412,0.0,0.1
Anne Arundel,Maryland,24003,64714,833,0.012872021510028742,1.2872021510028742,0.021011834124417417,0.014984173251656685,0.011207486930379769,0.0,0.052510098095787654
Green Lake,Wisconsin,55047,3807,49,0.01287102705542422,1.287102705542422,0.006982390206247887,0.010171646535282899,0.004946775701587568,0.0,0.013038850452368281
Clay,Kentucky,21051,5362,69,0.012868332711674748,1.2868332711674748,0.01942793432936882,0.012424698795180723,0.027592992587596447,0.0,0.25
Ford,Kansas,20057,7851,101,0.012864603235256655,1.2864603235256655,0.006727526469531561,0.004578754578754579,0.005268990984401648,0.0,0.013870094722598106
Sweetwater,Wyoming,56037,8320,107,0.012860576923076922,1.2860576923076923,0.006918281134226824,0.008437015331371277,0.003779895431901938,0.0,0.012980710906223462
Chemung,New York,36015,15092,194,0.01285449244632918,1.285449244632918,0.018492686010593267,0.017486757362691285,0.008461197798353208,0.0,0.039473684210526314
Penobscot,Maine,23019,17516,225,0.012845398492806576,1.2845398492806577,0.01617202337544981,0.015556501604075543,0.007417063075822418,0.0,0.03875968992248062
District of Columbia,District of Columbia,11001,94286,1211,0.01284390047302887,1.2843900473028869,0.029686111789419843,0.024701849805954506,0.012667368378164593,0.0,0.05392022008253095
Winnebago,Illinois,17201,53922,692,0.012833351878639517,1.2833351878639516,0.020327294990421758,0.01579778830963665,0.01052338723117472,0.0,0.09090909090909091
Cass,Missouri,29037,17537,225,0.012830016536465759,1.2830016536465758,0.022880171808903685,0.012096353728682431,0.027024383217931103,0.0,0.11594202898550725
Louisa,Virginia,51109,4209,54,0.012829650748396294,1.2829650748396295,0.012930759100616945,0.014643808998647707,0.005215437436496528,0.0,0.022292993630573247
Columbia,Oregon,41009,4755,61,0.012828601472134596,1.2828601472134595,0.009993925716948876,0.011904761904761904,0.006374724785481338,0.0,0.018433179723502304
Chase,Kansas,20017,468,6,0.01282051282051282,1.282051282051282,0.009437362170975547,0.010714285714285714,0.005810906965335892,0.0,0.028037383177570093
Guernsey,Ohio,39059,7802,100,0.01281722635221738,1.281722635221738,0.021078864164887877,0.015738851646750218,0.017401592543835897,0.0,0.06818181818181818
Butte,California,06007,26607,341,0.0128161761942346,1.2816176194234599,0.011946924530936962,0.012867647058823529,0.004855724916651852,0.0,0.0196078431372549
Cass,Illinois,17017,3127,40,0.012791813239526703,1.2791813239526704,0.019523450051413656,0.01706827309236948,0.013266015955683011,0.0,0.07142857142857142
Wyandotte,Kansas,20209,31908,408,0.012786761940579166,1.2786761940579165,0.030882342343896606,0.014346627739454828,0.0878562483996768,0.012055801136689822,1.0
Boyd,Kentucky,21019,10092,129,0.012782401902497027,1.2782401902497027,0.024351328845813754,0.014606957524505092,0.025494983333595064,0.0,0.2
Oconee,Georgia,13219,6417,82,0.0127785569580801,1.27785569580801,0.02285042057958473,0.0178044779417319,0.01563015320054435,0.0,0.07633587786259542
Pope,Arkansas,05115,12918,165,0.012772875058058523,1.2772875058058524,0.010732334137586836,0.012735282338806568,0.004141570823840534,0.0,0.015971606033717833
Madison,New York,36053,9086,116,0.012766894122826326,1.2766894122826327,0.017673391219627882,0.018406729522171865,0.004674253684130799,0.0,0.029850746268656716
Greeley,Kansas,20071,235,3,0.01276595744680851,1.276595744680851,0.005699125587063552,0.0,0.006326954571749635,0.0,0.018633540372670808
Montezuma,Colorado,08083,4231,54,0.01276294020326164,1.2762940203261641,0.029586759917429623,0.012855473315153876,0.036826796792619756,0.0,0.3333333333333333
Dubuque,Iowa,19061,20646,263,0.012738544996609513,1.2738544996609513,0.019661103876110753,0.015567567567567567,0.015601356820147306,0.0,0.16666666666666666
Bastrop,Texas,48021,15008,191,0.012726545842217484,1.2726545842217485,0.013158722045174246,0.011807703120607253,0.006954748932913274,0.0,0.09090909090909091
Rockcastle,Kentucky,21203,3536,45,0.012726244343891403,1.2726244343891402,0.008285009478112339,0.00988593155893536,0.005372608780382284,0.0,0.015022860875244938
Clatsop,Oregon,41007,2830,36,0.012720848056537103,1.2720848056537104,0.005362125224830811,0.006842091823706655,0.004810086729488945,0.0,0.013634592910011687
Harrisonburg city,Virginia,51660,9119,116,0.012720693058449391,1.272069305844939,0.01550081251493517,0.014005602240896359,0.007517779269123519,0.0,0.036585365853658534
Sutter,California,06101,15175,193,0.01271828665568369,1.271828665568369,0.01616427243593542,0.011584188598719642,0.01801115215853502,0.0,0.125
Aiken,South Carolina,45003,28969,368,0.01270323449204322,1.270323449204322,0.01871570924284944,0.013138736223568034,0.011852646083342314,0.0,0.07692307692307693
